date,revenue,cost,profit_margin,units_sold,marketing_spend,customer_count,average_order_value,website_visitors,conversion_rate,employee_count
2023-01-01,145670,98750,32.2,1240,15000,980,117.5,25670,3.8,42
2023-01-08,149820,99200,33.8,1290,15500,1010,116.9,27450,3.7,42
2023-01-15,152340,100450,34.1,1320,16000,1050,115.4,28760,3.7,43
2023-01-22,157890,103400,34.5,1380,16500,1080,116.7,29850,3.6,43
2023-01-29,159340,105620,33.7,1410,17000,1120,114.5,30240,3.7,44
2023-02-05,164520,108700,33.9,1450,17500,1170,113.8,31780,3.7,44
2023-02-12,168790,110540,34.5,1490,18000,1210,115.2,32450,3.7,45
2023-02-19,172340,112780,34.6,1520,18500,1250,114.8,33780,3.7,45
2023-02-26,177650,114900,35.3,1570,19000,1290,114.3,34260,3.8,46
2023-03-05,175430,116450,33.6,1550,19500,1270,113.9,33450,3.8,46
2023-03-12,173640,115780,33.3,1530,19000,1240,113.5,32760,3.8,46
2023-03-19,177890,117230,34.1,1560,19500,1280,114.2,33540,3.8,47
2023-03-26,183450,120340,34.4,1610,20000,1330,114.6,34780,3.8,47
2023-04-02,187620,123450,34.2,1650,20500,1370,114.9,35640,3.8,48
2023-04-09,192340,125670,34.7,1690,21000,1410,115.3,36780,3.8,48
2023-04-16,194560,127890,34.3,1710,21500,1430,114.9,37450,3.8,49
2023-04-23,198740,129340,34.9,1740,22000,1470,115.2,38760,3.8,49
2023-04-30,203450,132780,34.7,1780,22500,1510,115.4,39450,3.8,50
2023-05-07,208970,135670,35.1,1830,23000,1550,115.9,40780,3.8,50
2023-05-14,214560,138900,35.3,1870,23500,1590,116.3,41560,3.8,51
2023-05-21,219870,141230,35.8,1910,24000,1630,116.8,42780,3.8,52
2023-05-28,216750,143450,33.8,1890,24500,1600,116.2,41950,3.8,52
2023-06-04,221340,144780,34.6,1930,25000,1640,116.8,43270,3.8,53
2023-06-11,226780,147230,35.1,1970,25500,1680,117.3,44560,3.8,53
2023-06-18,231450,149870,35.2,2010,26000,1720,117.7,45780,3.8,54
2023-06-25,237890,152340,36.0,2060,26500,1760,118.2,47450,3.7,55
2023-07-02,242340,154780,36.1,2100,27000,1800,118.6,48760,3.7,56
2023-07-09,238970,156450,34.5,2070,27500,1770,118.1,47890,3.7,56
2023-07-16,247650,158970,35.8,2140,28000,1840,119.0,49450,3.7,57
2023-07-23,252780,161340,36.2,2180,28500,1880,119.5,50780,3.7,58
2023-07-30,249870,163670,34.5,2150,29000,1850,118.7,50240,3.7,58
2023-08-06,257340,165450,35.7,2220,29500,1910,119.3,51780,3.7,59
2023-08-13,262780,168970,35.7,2260,30000,1950,120.0,53450,3.6,60
2023-08-20,268950,171230,36.3,2300,30500,1990,120.4,54780,3.6,61
2023-08-27,274560,173890,36.7,2340,31000,2030,120.9,56340,3.6,62
2023-09-03,279870,176450,37.0,2380,31500,2070,121.3,57890,3.6,63
2023-09-10,285340,179780,37.0,2420,32000,2110,121.7,59450,3.5,64
2023-09-17,278970,181340,35.0,2360,32500,2050,120.8,58240,3.5,64
2023-09-24,288760,182780,36.7,2440,33000,2130,121.5,60780,3.5,65
2023-10-01,293450,185670,36.7,2480,33500,2170,121.9,62340,3.5,66
2023-10-08,298970,188340,37.0,2520,34000,2210,122.4,63890,3.5,67
2023-10-15,304560,191780,37.0,2560,34500,2250,122.8,65450,3.4,68
2023-10-22,311230,194560,37.5,2600,35000,2290,123.3,67890,3.4,69
2023-10-29,317890,197340,37.9,2650,35500,2330,123.8,69450,3.4,70
2023-11-05,324560,200780,38.1,2700,36000,2370,124.3,71230,3.3,71
