date,revenue,cost,units_sold,marketing_spend,customer_count,website_visitors,employee_count,profit_margin,average_order_value,conversion_rate
2022-01-01,7262.43,6123.94,150,1796.73,102,6536,63,0.16,71.2,0.016
2022-01-02,5744.16,6414.84,310,1588.19,97,584,10,-0.12,59.22,0.166
2022-01-03,2071.81,4108.4,296,1537.5,89,7714,33,-0.98,23.28,0.012
2022-01-04,13201.03,7189.56,339,1064.93,162,902,21,0.46,81.49,0.18
2022-01-05,11855.82,2361.05,370,306.42,101,1815,64,0.8,117.38,0.056
2022-01-06,2937.71,3461.61,199,359.61,56,2015,26,-0.18,52.46,0.028
2022-01-07,7927.78,7219.2,309,1357.96,193,3583,28,0.09,41.08,0.054
2022-01-08,7566.93,7201.18,499,1131.8,47,7775,85,0.05,161.0,0.006
2022-01-09,9563.83,5579.99,396,1596.79,148,1857,89,0.42,64.62,0.08
2022-01-10,14219.71,6914.15,182,984.03,24,1909,55,0.51,592.49,0.013
2022-01-11,8906.69,983.55,290,2094.94,10,7133,54,0.89,890.67,0.001
2022-01-12,8333.15,6960.46,395,2605.47,144,6487,15,0.16,57.87,0.022
2022-01-13,1229.68,2768.77,115,966.7,10,5639,60,-1.25,122.97,0.002
2022-01-14,1412.16,1673.15,281,659.65,58,6148,75,-0.18,24.35,0.009
2022-01-15,3216.53,2143.15,384,436.92,105,3107,46,0.33,30.63,0.034
2022-01-16,970.83,3518.36,488,1887.14,166,3325,43,-2.62,5.85,0.05
2022-01-17,11278.62,2234.18,372,1387.18,35,7059,73,0.8,322.25,0.005
2022-01-18,10988.29,2768.37,307,645.25,96,3595,52,0.75,114.46,0.027
2022-01-19,2472.82,1339.33,455,1994.1,182,2420,61,0.46,13.59,0.075
2022-01-20,12623.14,2580.56,102,530.6,102,1770,25,0.8,123.76,0.058
2022-01-21,2744.4,4706.59,244,1707.47,111,6044,86,-0.71,24.72,0.018
2022-01-22,4867.05,3702.27,431,1628.73,80,4715,24,0.24,60.84,0.017
2022-01-23,4110.17,2969.73,242,2229.26,149,1251,19,0.28,27.59,0.119
2022-01-24,5898.45,6047.68,488,259.82,104,5592,73,-0.03,56.72,0.019
2022-01-25,4192.62,7180.03,137,2674.83,169,6811,81,-0.71,24.81,0.025
2022-01-26,7589.79,6127.28,211,2138.68,127,6881,55,0.19,59.76,0.018
2022-01-27,6407.41,2856.41,98,726.77,157,6402,80,0.55,40.81,0.025
2022-01-28,14805.26,6032.2,97,631.88,128,7838,66,0.59,115.67,0.016
2022-01-29,1310.93,1470.25,166,1351.81,60,7837,89,-0.12,21.85,0.008
2022-01-30,2561.63,1303.45,126,2470.94,90,4847,41,0.49,28.46,0.019
