date,revenue,cost,units_sold,marketing_spend,customer_count,website_visitors,employee_count,profit_margin,average_order_value,conversion_rate
2022-01-01,23872.53,6441.79,13,2642.12,30,6470,254,0.73,795.75,0.005
2022-01-02,27503.61,17080.78,3,9686.89,29,7276,88,0.38,948.4,0.004
2022-01-03,40329.4,12239.92,5,4853.66,79,6739,210,0.7,510.5,0.012
2022-01-04,31948.04,19565.27,9,6688.17,27,5273,203,0.39,1183.26,0.005
2022-01-05,14049.44,3961.62,6,7535.0,61,7523,225,0.72,230.32,0.008
2022-01-06,31560.47,16031.74,2,4302.65,56,6003,242,0.49,563.58,0.009
2022-01-07,23343.48,7683.3,13,2325.04,91,9038,290,0.67,256.52,0.01
2022-01-08,26128.65,21471.57,5,2859.23,97,7606,215,0.18,269.37,0.013
2022-01-09,6274.01,23281.2,8,3819.4,35,3064,179,-2.71,179.26,0.011
2022-01-10,14451.32,24913.56,1,6724.62,68,6315,162,-0.72,212.52,0.011
2022-01-11,17646.71,20104.18,12,4584.52,75,1317,183,-0.14,235.29,0.057
2022-01-12,37083.2,19089.62,11,1061.33,37,2502,95,0.49,1002.25,0.015
2022-01-13,5517.16,6172.02,7,5710.66,89,7130,99,-0.12,61.99,0.012
2022-01-14,23394.98,9064.17,15,9293.62,6,8419,215,0.61,3899.16,0.001
2022-01-15,46581.21,12176.38,11,8308.7,22,3042,155,0.74,2117.33,0.007
2022-01-16,10034.63,19561.15,16,8426.9,51,5598,265,-0.95,196.76,0.009
2022-01-17,28239.1,22959.18,3,8155.52,37,1118,195,0.19,763.22,0.033
2022-01-18,40393.51,5539.34,14,3913.58,88,1709,204,0.86,459.02,0.051
2022-01-19,47413.91,23136.82,3,7886.74,39,4557,218,0.51,1215.74,0.009
2022-01-20,38604.95,17694.99,1,2288.45,55,4250,121,0.54,701.91,0.013
2022-01-21,37425.45,15658.5,15,6919.45,22,9061,269,0.58,1701.16,0.002
2022-01-22,42191.96,5796.19,1,6774.12,92,9609,123,0.86,458.61,0.01
2022-01-23,25079.05,2332.6,17,1230.13,76,3603,66,0.91,329.99,0.021
2022-01-24,41263.0,14643.16,2,8091.73,34,2101,296,0.65,1213.62,0.016
2022-01-25,5358.4,16636.38,6,9129.23,48,5421,239,-2.1,111.63,0.009
2022-01-26,46605.25,6058.75,8,3406.74,57,8857,206,0.87,817.64,0.006
2022-01-27,24948.79,14354.95,16,8311.52,14,9177,235,0.42,1782.06,0.002
2022-01-28,29902.11,21555.84,19,1741.65,91,7082,119,0.28,328.59,0.013
2022-01-29,16469.7,21041.58,1,6399.71,56,7658,255,-0.28,294.1,0.007
2022-01-30,38413.89,23256.52,3,5370.82,53,3261,199,0.39,724.79,0.016
2022-01-31,8448.61,9781.26,3,5913.31,15,9021,295,-0.16,563.24,0.002
